ANIO_TRIMESTRE,COD_CHIP,NOM_CHIP,COD_AMB,NOM_AMB,COD_DEPAR,NOM_DEPAR,COD_MUN,NOM_MUN,COD_CATEGORIA,NOM_CATEGORIA,DIPUTADOS,CONCEJALES,COD_CUENTA,NOM_CUENTA,COD_REC,NOM_REC,COD_ORIG,NOM_ORIG,COD_DEST,NOM_DEST,COD_SIT,NOM_SIT,COD_TER,NOM_TER,PRE_INICIAL,ADICIONES,REDUCCIONES,CREDITO,CONTRACREDITO,APLAZAMIENTO,DESAPLAZAMIENTO,PRE_DEFINITIVO,RECAUDO_EN_EFECTIVO,DEV_RECAUDO,REV_RECAUDO,NETO_RECAUDO_EN_EFECTIVO,PAPELES_UTILIZACION,PAPELES_EMISION,NETO_PAPELES,OTRAS_EJEC,REV_OTRAS_EJEC,NETO_OTRAS_EJEC,RECONOCIMIENTOS_SGP,REC_VIG_ANT,REV_REC_VIG_ANT,NETO_REC_VIG_ANT
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1                                                 ,INGRESOS,  , ,   , ,   , , , ,               , ,"3,911,479,069,057","1,370,307,345,771","98,665,228,065","300,343,993,879","300,343,993,879",0,0,"5,183,121,186,763","5,193,734,930,587",0,0,"5,193,734,930,587",0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1                                               ,INGRESOS CORRIENTES,  , ,   , ,   , , , ,               , ,"3,679,901,071,296","539,427,266,650","90,068,884,143","300,343,993,879","300,343,993,879",0,0,"4,129,259,453,803","4,054,531,409,900",0,0,"4,054,531,409,900",0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01                                            ,TRIBUTARIOS,  , ,   , ,   , , , ,               , ,"1,352,959,214,705","58,372,668,033",0,"211,740,769,960","211,740,769,960",0,0,"1,411,331,882,738","1,456,446,529,422",0,0,"1,456,446,529,422",0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01.01                                         ,Impuestos Directos,  , ,   , ,   , , , ,               , ,"383,885,082,000","5,491,783,086",0,0,0,0,0,"389,376,865,086","427,033,542,350",0,0,"427,033,542,350",0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01.01.31                                      ,Vehículos Automotores,10,Recursos Corrientes,002,Recursos corrientes de Impuestos,001,Libre Destinación,C,Con Situación de Fondos,               ,NULL,"163,030,322,997",0,0,0,0,0,0,"163,030,322,997",0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01.01.31                                      ,Vehículos Automotores,10,Recursos Corrientes,002,Recursos corrientes de Impuestos,001,Libre Destinación,C,Con Situación de Fondos,000000000000000,NO APLICA,0,0,0,0,0,0,0,0,"188,825,991,528",0,0,"188,825,991,528",0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01.01.31                                      ,Vehículos Automotores,10,Recursos Corrientes,002,Recursos corrientes de Impuestos,018,Administración y Protección del Medio Ambiente - Conservación,C,Con Situación de Fondos,               ,NULL,"1,646,771,003",0,0,0,0,0,0,"1,646,771,003",0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01.01.31                                      ,Vehículos Automotores,10,Recursos Corrientes,002,Recursos corrientes de Impuestos,018,Administración y Protección del Medio Ambiente - Conservación,C,Con Situación de Fondos,000000000000000,NO APLICA,0,0,0,0,0,0,0,0,"1,907,333,248",0,0,"1,907,333,248",0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01.01.31                                      ,Vehículos Automotores,10,Recursos Corrientes,002,Recursos corrientes de Impuestos,039,Transporte - General,C,Con Situación de Fondos,               ,NULL,"41,169,274,000","5,491,783,086",0,0,0,0,0,"46,661,057,086",0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181201,110505000,DEPARTAMENTO DE ANTIOQUIA,21,ADMÓN CTRAL TERR - DEPTOS,05,ANTIOQUIA,05001,MEDELLÍN,E,Especial,26,0,1.1.01.01.31                                      ,Vehículos Automotores,10,Recursos Corrientes,002,Recursos corrientes de Impuestos,039,Transporte - General,C,Con Situación de Fondos,000000000000000,NO APLICA,0,0,0,0,0,0,0,0,"47,683,331,194",0,0,"47,683,331,194",0,0,0,0,0,0,0,0,0,0
